ID,Module,User Story,Role,Priority,Status,Your Notes
1.1,Deal Pipeline,"As a deal originator, I want to create a new deal with title, project type, genre, loan amount, interest rate, and term so that I can track it through the pipeline.",Deal Originator,,Built,
1.2,Deal Pipeline,"As a deal originator, I want to set deal status (pipeline, active, closed, declined) so that I can track deal lifecycle.",Deal Originator,,Built,
1.3,Deal Pipeline,"As a portfolio manager, I want to see a dashboard with deal counts and total committed capital by status so that I have a real-time portfolio snapshot.",Portfolio Manager,,Built,
1.4,Deal Pipeline,"As a deal originator, I want to attach producer, director, and cast summary to a deal so that creative packages are tracked alongside financial terms.",Deal Originator,,Built,
1.5,Deal Pipeline,"As a deal originator, I want to search and filter deals by title, borrower, status, or genre so that I can quickly find specific deals.",Deal Originator,,Built,
1.6,Deal Pipeline,"As a portfolio manager, I want to see a deal aging report (days in pipeline, days active) so that I can identify stalled deals.",Portfolio Manager,,Not Started,
1.7,Deal Pipeline,"As a deal originator, I want to edit an existing deal's terms (amount, rate, maturity) so that I can reflect renegotiated terms.",Deal Originator,,Partial,
1.8,Deal Pipeline,"As a compliance officer, I want deal approval workflows (submitted, under review, approved, rejected) so that no deal proceeds without proper sign-off.",Compliance Officer,,Planned,
1.9,Deal Pipeline,"As a portfolio manager, I want to export deal lists to CSV/Excel so that I can share reports with stakeholders.",Portfolio Manager,,Not Started,
1.10,Deal Pipeline,"As a deal originator, I want to clone an existing deal as a template for similar transactions so that I save data entry time.",Deal Originator,,Not Started,
2.1,Contacts,"As a relationship manager, I want to add contacts with name, company, role, email, phone, and type so that I have a centralized directory.",Relationship Manager,,Built,
2.2,Contacts,"As a deal originator, I want to link contacts to deals with a relationship type so that I can see who is involved in each transaction.",Deal Originator,,Built,
2.3,Contacts,"As a relationship manager, I want to search contacts by name, company, or type so that I can quickly look up counterparties.",Relationship Manager,,Built,
2.4,Contacts,"As a relationship manager, I want to see an activity log per contact (deals, interactions, notes) so that I have full relationship history.",Relationship Manager,,Partial,
2.5,Contacts,"As a relationship manager, I want to import contacts from a CSV so that I can bulk-load my existing CRM data.",Relationship Manager,,Not Started,
2.6,Contacts,"As a deal originator, I want to see all deals associated with a contact so that I understand the depth of the relationship.",Deal Originator,,Partial,
2.7,Contacts,"As a relationship manager, I want to tag contacts with custom labels (e.g., key account, new relationship) so that I can segment my network.",Relationship Manager,,Not Started,
2.8,Contacts,"As a compliance officer, I want to flag contacts requiring KYC/AML refresh so that we stay compliant.",Compliance Officer,,Not Started,
3.1,Sales & Collections,"As a sales manager, I want to create sales contracts per deal, territory, and distributor with MG amounts so that I can track distribution commitments.",Sales Manager,,Built,
3.2,Sales & Collections,"As a collections analyst, I want to record collections against contracts (amount due, received, status) so that I can track cash inflows.",Collections Analyst,,Built,
3.3,Sales & Collections,"As a sales manager, I want to see contracts by territory across 19 markets so that I have a global sales map.",Sales Manager,,Built,
3.4,Sales & Collections,"As a collections analyst, I want to flag overdue collections automatically so that I can prioritize follow-ups.",Collections Analyst,,Built,
3.5,Sales & Collections,"As a sales manager, I want to compare projected vs. actual collections per contract so that I can identify variance early.",Sales Manager,,Partial,
3.6,Sales & Collections,"As a finance director, I want a waterfall report showing how collections flow from gross to net (commissions, fees, holdbacks) so that I can model true cash receipts.",Finance Director,,Not Started,
3.7,Sales & Collections,"As a sales manager, I want to attach contract PDFs and delivery schedules to sales contracts so that I have a complete record.",Sales Manager,,Not Started,
3.8,Sales & Collections,"As a finance director, I want multi-currency collection tracking with FX conversion to a base currency so that I can report in USD.",Finance Director,,Partial,
3.9,Sales & Collections,"As a sales manager, I want to generate territory-by-territory sales reports for investor updates so that I can share distribution progress.",Sales Manager,,Not Started,
4.1,Credit Rating,"As a risk analyst, I want AI-generated credit scores (0-100) for distributors and producers so that I can assess counterparty strength.",Risk Analyst,,Built,
4.2,Credit Rating,"As a risk analyst, I want risk tier classifications (AAA through CCC) so that I can quickly categorize counterparties.",Risk Analyst,,Built,
4.3,Credit Rating,"As a risk analyst, I want to see payment reliability scores and factor breakdowns so that I understand what drives the rating.",Risk Analyst,,Built,
4.4,Credit Rating,"As a deal originator, I want to see credit ratings inline when selecting a distributor for a deal so that I make informed decisions.",Deal Originator,,Not Started,
4.5,Credit Rating,"As a risk analyst, I want to override or annotate AI-generated ratings with manual assessments so that I can incorporate offline knowledge.",Risk Analyst,,Not Started,
4.6,Credit Rating,"As a risk analyst, I want credit rating history over time per contact so that I can spot trends (improving or deteriorating).",Risk Analyst,,Partial,
4.7,Credit Rating,"As a portfolio manager, I want a portfolio-level counterparty concentration report so that I can identify exposure risks.",Portfolio Manager,,Not Started,
5.1,Accounting,"As a finance analyst, I want to record disbursements, repayments, fees, and interest by deal so that I maintain a transaction ledger.",Finance Analyst,,Built,
5.2,Accounting,"As a finance analyst, I want summary metrics (total disbursed, repaid, fees, interest, net position) so that I have a financial overview.",Finance Analyst,,Built,
5.3,Accounting,"As a finance analyst, I want to search transactions by deal, type, counterparty, or reference so that I can audit specific entries.",Finance Analyst,,Built,
5.4,Accounting,"As a finance director, I want to reconcile expected vs. actual cash flows by deal so that I can spot discrepancies.",Finance Director,,Not Started,
5.5,Accounting,"As a finance director, I want to generate a P&L statement per deal (revenue, costs, net) so that I can assess deal profitability.",Finance Director,,Not Started,
5.6,Accounting,"As an auditor, I want full audit trail with timestamps, user IDs, and before/after values on all transaction edits so that I can trace changes.",Auditor,,Partial,
