ID,Module,User Story,Role,Priority,Status,LUIGI's Notes,Comment
1.1,Deal Pipeline,"As a deal originator, I want to create a new deal with title, project type, genre, loan amount, interest rate, and term so that I can track it through the pipeline.",Deal Originator,High,Built,"The level of details and data to insert deal is most likely higher, also including collateral breakdown (e.g. pre-sale, tax credits, unsold territories, and guarantees). Each of this collateral also have other sub-metrics and data that need tracking and logging onto the platform at the moment a deal is logged. ",Needs to be also a form to enter details
1.2,Deal Pipeline,"As a deal originator, I want to set deal status (pipeline, active, closed, declined) so that I can track deal lifecycle.",Deal Originator,High,Built,-,
1.3,Deal Pipeline,"As a portfolio manager, I want to see a dashboard with deal counts and total committed capital by status so that I have a real-time portfolio snapshot.",Portfolio Manager,Extremely High,Built,"Also, here the type of data to be tracked and provided by the platform is probably higher. Most definitely including IRR for the portfolio, capital deployed (cash), capital collected (cash), portfolio income (collected less deployed), portfolio outstanding balance (including interests, fees, and expenses), portfolio collateral coverage, portfolio status (Covered, Out of Coverage, Near Max Coverage), # of live deals, # of fully repaid deals, # of profit-split deals, etc...",
1.4,Deal Pipeline,"As a deal originator, I want to attach producer, director, and cast summary to a deal so that creative packages are tracked alongside financial terms.",Deal Originator,High,Built,-,
1.5,Deal Pipeline,"As a deal originator, I want to search and filter deals by title, borrower, status, or genre so that I can quickly find specific deals.",Deal Originator,High,Built,"I'd also add ""loan sizes"" (e.g. 5-10m, 10-15m, etc...) ",
1.6,Deal Pipeline,"As a portfolio manager, I want to see a deal aging report (days in pipeline, days active) so that I can identify stalled deals.",Portfolio Manager,High,Not Started,-,
1.7,Deal Pipeline,"As a deal originator, I want to edit an existing deal's terms (amount, rate, maturity) so that I can reflect renegotiated terms.",Deal Originator,High,Partial,-,
1.8,Deal Pipeline,"As a compliance officer, I want deal approval workflows (submitted, under review, approved, rejected) so that no deal proceeds without proper sign-off.",Compliance Officer,Extremely High,Planned,"I'd also add a notification system. When deals get move into ""approval/submission"" stages of the deal pipeline the ""approverer"" (e.g. Compliance Officer) and other users get notified that said deal is now ready for them to reivew. I'd opt for notificaiton within the platform and also via email or slack. ",
1.9,Deal Pipeline,"As a portfolio manager, I want to export deal lists to CSV/Excel so that I can share reports with stakeholders.",Portfolio Manager,Extremely High,Not Started,-,
1.1,Deal Pipeline,"As a deal originator, I want to clone an existing deal as a template for similar transactions so that I save data entry time.",Deal Originator,High,Not Started,-,
2.1,Contacts,"As a relationship manager, I want to add contacts with name, company, role, email, phone, and type so that I have a centralized directory.",Relationship Manager,High,Built,-,
2.2,Contacts,"As a deal originator, I want to link contacts to deals with a relationship type so that I can see who is involved in each transaction.",Deal Originator,Extremely High,Built,"I'd also add that for each contact, when looking at the history of the deals it should split between deal submitted and deal executed to highlight what's their ""approval ratio"". Also, for deals that have been executed I'd want stats for each deals (e.g. capital deployed, capital collected, IRR, on time, early, or late repayment, total income generated for us (or loss),  etc...) ",
2.3,Contacts,"As a relationship manager, I want to search contacts by name, company, or type so that I can quickly look up counterparties.",Relationship Manager,High,Built,-,
2.4,Contacts,"As a relationship manager, I want to see an activity log per contact (deals, interactions, notes) so that I have full relationship history.",Relationship Manager,High,Partial,-,
2.5,Contacts,"As a relationship manager, I want to import contacts from a CSV so that I can bulk-load my existing CRM data.",Relationship Manager,High,Not Started,-,
2.6,Contacts,"As a deal originator, I want to see all deals associated with a contact so that I understand the depth of the relationship.",Deal Originator,High,Partial,-,
2.7,Contacts,"As a relationship manager, I want to tag contacts with custom labels (e.g., key account, new relationship) so that I can segment my network.",Relationship Manager,Medium-High,Not Started,-,
2.8,Contacts,"As a compliance officer, I want to flag contacts requiring KYC/AML refresh so that we stay compliant.",Compliance Officer,Medium-High,Not Started,-,
3.1,Sales & Collections,"As a sales manager, I want to create sales contracts per deal, territory, and distributor with MG amounts so that I can track distribution commitments.",Sales Manager,Extremely High,Built,"I'd also add more granularity in the data tracked from these MG deals. For example, payment terms (20% deposit / 80% delivery), outside delivery date, etc...",
3.2,Sales & Collections,"As a collections analyst, I want to record collections against contracts (amount due, received, status) so that I can track cash inflows.",Collections Analyst,Extremely High,Built,"I'd also would like to explore possibility for banking APIs (similarly to what we have with the CAM) to streamline the data entry process. Also, there should be a section for costs -- MG payments are often lower than their gross amount due to currency, banking, and/or other fees. ",
